2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: P06-1145 issue with getting a name from an author in paper
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: No abstract found for W06-1418
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: L16-1309 issue with getting a name from an author in paper
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: L16-1309 issue with getting a name from an author in paper
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: Q16-1031 issue with getting a name from an author in paper
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: No sections found in W14-1101
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: S18-1063 issue with getting a name from an author in paper
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: No sections found in C90-3071
2019-09-01 16:12:09,652| WARNING|          pdf_parser|            __call__: W01-1610 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W01-1610 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W03-0433 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W03-0433 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: Y15-1042 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W13-2108 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W13-2108 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W13-2108 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: No sections found in D18-1031
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: S19-2131 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: W15-0108 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: No sections found in O14-5003
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: P17-2016 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: P19-1168 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: P19-1168 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: P19-1168 issue with getting a name from an author in paper
2019-09-01 16:12:09,653| WARNING|          pdf_parser|            __call__: E17-2107 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: E17-2107 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: E17-2107 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W19-4421 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W18-4704 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W18-4704 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: E12-1054 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: P16-1210 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: P16-1210 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: P18-1061 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: C16-1219 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: C16-1219 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W18-4912 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W18-4912 issue with getting a name from an author in paper
2019-09-01 16:12:09,654| WARNING|          pdf_parser|            __call__: W18-4912 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: N09-2004 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: N09-2004 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: N09-2004 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: P17-1101 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: W19-2310 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: W19-2310 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: W19-2310 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: No abstract found for E93-1055
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: No abstract found for H86-1020
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: L16-1488 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: No abstract found for W97-0219
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: D18-1294 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: D18-1294 issue with getting a name from an author in paper
2019-09-01 16:12:09,655| WARNING|          pdf_parser|            __call__: D18-1294 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W05-1510 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W05-1510 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: I11-1100 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: P04-3017 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: P04-3017 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W10-2607 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: C08-2032 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: C08-2032 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W17-4801 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W17-4801 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W17-4801 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: W17-4801 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: No sections found in W00-2040
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: P17-1065 issue with getting a name from an author in paper
2019-09-01 16:12:09,656| WARNING|          pdf_parser|            __call__: S13-2044 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: No abstract found for A92-1045
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: No sections found in W19-2403
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: W16-3604 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: W16-3604 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: N19-1342 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: N19-1342 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: J13-1005 issue with getting a name from an author in paper
2019-09-01 16:12:09,657| WARNING|          pdf_parser|            __call__: J13-1005 issue with getting a name from an author in paper
